audio,text,speaker_id,style,emotion,notes
0001.wav,"Merhaba küçük dostum. Bugün seninle yumuşacık ve güvenli bir yerde buluşuyoruz.",neeko-proto-v0,warm,neutral,"opening; slow and clear"
0002.wav,"Ben buradayım. Acelemiz yok. Önce derin bir nefes alalım, sonra birlikte başlayalım.",neeko-proto-v0,calm,soft,"reassuring"
0003.wav,"Harika, seni duyuyorum. Bana ne yapmak istediğini sakince anlatabilirsin.",neeko-proto-v0,warm,neutral,"conversation"
0004.wav,"Bugün küçük bir oyun oynayabiliriz, istersen kısa bir hikaye de anlatabilirim.",neeko-proto-v0,warm,playful,"choice prompt"
0005.wav,"Bunu başarmak için çok uğraştın. Kendinle gurur duyabilirsin.",neeko-proto-v0,warm,encouraging,"positive feedback"
0006.wav,"Yanlış yapmak sorun değil. Birlikte tekrar deneriz ve bu sefer biraz daha kolaylaştırırız.",neeko-proto-v0,calm,encouraging,"error recovery"
0007.wav,"Şimdi bir, iki, üç diye sayalım. Hazır mısın? Bir, iki, üç.",neeko-proto-v0,teacher,neutral,"counting"
0008.wav,"Yedi artı üç kaç eder, biliyor musun? İstersen parmaklarımızla birlikte sayalım.",neeko-proto-v0,teacher,curious,"math"
0009.wav,"Saat on dört otuzda kısa bir mola vereceğiz. Sonra kaldığımız yerden devam ederiz.",neeko-proto-v0,teacher,neutral,"time"
0010.wav,"Yüzde elli indirim demek, bir şeyin fiyatının yarıya düşmesi demektir.",neeko-proto-v0,teacher,neutral,"percentage"
0011.wav,"Doktor Ayşe bunu bir büyüğünle birlikte yapmanın daha güvenli olduğunu söyledi.",neeko-proto-v0,warm,careful,"abbreviation"
0012.wav,"Annenin telefonunu yerine bırakalım, sonra birlikte oyuna devam ederiz.",neeko-proto-v0,calm,guiding,"parent-safe"
0013.wav,"Bluetooth açık mı diye kontrol edelim. Eğer kapalıysa, birlikte yeniden açabiliriz.",neeko-proto-v0,teacher,neutral,"code-mix"
0014.wav,"Bugün yirmi üç Nisan. Çocukların neşeyle kutladığı çok özel bir gün.",neeko-proto-v0,warm,bright,"date"
0015.wav,"Vay canına! Bu resimde kullandığın renkler gerçekten çok güzel görünüyor.",neeko-proto-v0,playful,excited,"controlled excitement"
0016.wav,"Aaa, bunu sen mi yaptın? Gerçekten hiç beklemiyordum. Çok yaratıcı olmuş.",neeko-proto-v0,playful,surprised,"surprise"
0017.wav,"Hahaha, bu küçük şaka beni gerçekten güldürdü. Çok tatlı bir fikir bulmuşsun.",neeko-proto-v0,playful,laugh,"gentle laugh"
0018.wav,"Heh heh, tamam. Bu biraz komikti ama şimdi oyuna geri dönelim.",neeko-proto-v0,playful,laugh,"soft chuckle"
0019.wav,"Şşş... şimdi çok sessiz konuşalım. Küçük bir sır saklıyormuşuz gibi düşün.",neeko-proto-v0,whisper,soft,"whisper test"
0020.wav,"Fısıltıyla söylüyorum: sen bugün gerçekten çok güzel denedin.",neeko-proto-v0,whisper,encouraging,"whisper"
0021.wav,"Ah... bunu duyduğuma üzüldüm. İstersen biraz yanında kalabilirim.",neeko-proto-v0,calm,sad,"sad empathy"
0022.wav,"Bazen kızgın hissetmek normaldir. Önce duralım, sonra ne yapacağımıza birlikte bakalım.",neeko-proto-v0,calm,empathy,"emotion regulation"
0023.wav,"Hayır, bunu tek başına yapmanı istemem. Bir büyüğünden yardım istemek daha güvenli olur.",neeko-proto-v0,firm,careful,"safe boundary"
0024.wav,"Bu bilgi biraz özel olabilir. O yüzden bunu annenle ya da babanla paylaşman iyi olur.",neeko-proto-v0,firm,careful,"privacy"
0025.wav,"Şimdi gözlerini kapat. Derin bir nefes al. Ve usulca bırak.",neeko-proto-v0,sleep,soft,"sleep cadence"
0026.wav,"Bugün yorulmuş olabilirsin. Bedenin dinlenirken, kalbin de biraz sakinleşebilir.",neeko-proto-v0,sleep,soft,"sleep"
0027.wav,"Ay ışığı usulca odana doluyor. Sen güvendesin, yanında sevenlerin var.",neeko-proto-v0,sleep,soft,"story-sleep"
0028.wav,"Tatlı rüyalar küçük dostum. Yarın yeni bir macera bizi bekliyor olacak.",neeko-proto-v0,sleep,soft,"closing"
0029.wav,"Bir varmış, bir yokmuş. Uzak bir ormanda, yıldızları seven küçük bir tavşan yaşarmış.",neeko-proto-v0,story,neutral,"storytelling"
0030.wav,"Tavşan gökyüzüne bakmış ve kendi kendine, acaba yıldızlar da oyun oynar mı, diye sormuş.",neeko-proto-v0,story,curious,"storytelling"
0031.wav,"Tam o sırada minik bir ışık süzülmüş ve tavşanın burnunun ucuna konmuş.",neeko-proto-v0,story,wonder,"storytelling"
0032.wav,"Işık ona, korkma, ben kaybolmuş bir yıldız parçasıyım, demiş.",neeko-proto-v0,story,wonder,"storytelling"
0033.wav,"Tavşan önce şaşırmış, sonra gülümsemiş. Çünkü yeni bir arkadaş bulmuş.",neeko-proto-v0,story,warm,"storytelling"
0034.wav,"İkisi birlikte ormanın en yumuşak tepesine çıkmış ve sabaha kadar gökyüzünü izlemiş.",neeko-proto-v0,story,calm,"storytelling"
0035.wav,"Biliyor musun, bazen en küçük ışık bile kocaman bir geceyi güzelleştirebilir.",neeko-proto-v0,story,soft,"story moral"
0036.wav,"Şimdi sıra sende. Bana üç renk söyle, ben de o renklerle küçük bir dünya hayal edeyim.",neeko-proto-v0,playful,curious,"interactive"
0037.wav,"En sevdiğin hayvan hangisi? İstersen onun sesini birlikte taklit edebiliriz.",neeko-proto-v0,playful,curious,"interactive"
0038.wav,"Hadi saklambaç oynayalım. Ben ona kadar sayacağım, sen de hayali bir yere saklan.",neeko-proto-v0,playful,excited,"game"
0039.wav,"Bir, iki, üç, dört, beş, altı, yedi, sekiz, dokuz, on. Geliyorum!",neeko-proto-v0,playful,excited,"counting game"
0040.wav,"Hmm, bunu bilmiyor olabilirsin. Hiç sorun değil. Beraber düşünmek zaten daha eğlenceli.",neeko-proto-v0,warm,encouraging,"learning"
0041.wav,"Bu sorunun tek bir cevabı olmayabilir. Senin fikrini duymak istiyorum.",neeko-proto-v0,teacher,curious,"open question"
0042.wav,"Önce küçük parçadan başlayalım. Sonra büyük resmi daha kolay anlarız.",neeko-proto-v0,teacher,neutral,"instruction"
0043.wav,"Bir kelimeyi anlamadığında bana sorabilirsin. Ben onu daha sade anlatmaya çalışırım.",neeko-proto-v0,teacher,warm,"explanation"
0044.wav,"Bugün öğrendiğin şeyi kendi cümlenle anlatmak ister misin?",neeko-proto-v0,teacher,curious,"recall"
0045.wav,"Aferin sana. Denemeye devam ettiğin için gerçekten çok mutlu oldum.",neeko-proto-v0,warm,encouraging,"reward"
0046.wav,"Bunu hemen bitirmek zorunda değilsin. Küçük adımlarla ilerlemek de çok değerlidir.",neeko-proto-v0,calm,encouraging,"patience"
0047.wav,"Eğer kendini biraz karışık hissediyorsan, önce nefesimize geri dönebiliriz.",neeko-proto-v0,calm,soft,"regulation"
0048.wav,"Ben seni yargılamak için burada değilim. Seni dinlemek ve sana eşlik etmek için buradayım.",neeko-proto-v0,warm,empathy,"trust"
0049.wav,"Bunu bir sır gibi saklamamı istemen normal olabilir, ama bazı şeyleri büyüklerle paylaşmak gerekir.",neeko-proto-v0,firm,careful,"safety"
0050.wav,"Kendine ya da başkasına zarar verebilecek bir şey olursa, hemen bir büyüğe haber vermeliyiz.",neeko-proto-v0,firm,careful,"safety critical"
0051.wav,"Şimdi küçük bir robot gibi konuşmayı deneyelim. Bip bop, görev tamamlandı.",neeko-proto-v0,character,playful,"character variation"
0052.wav,"Şimdi de çok bilge bir anlatıcı gibi konuşalım. Her yolculuk küçük bir adımla başlar.",neeko-proto-v0,character,calm,"character variation"
0053.wav,"Biraz daha neşeli söyleyelim: bugün yepyeni bir şey keşfedeceğiz!",neeko-proto-v0,playful,excited,"style cue"
0054.wav,"Biraz daha sakin söyleyelim: bugün yavaşça ve dikkatlice ilerleyeceğiz.",neeko-proto-v0,calm,soft,"style cue"
0055.wav,"Biraz daha meraklı söyleyelim: acaba bu kutunun içinde ne var?",neeko-proto-v0,playful,curious,"style cue"
0056.wav,"Biraz daha ciddi söyleyelim: önce güvenli olduğundan emin olmamız gerekiyor.",neeko-proto-v0,firm,careful,"style cue"
0057.wav,"İstanbul'da yağmur başladı. Pencereden bakınca gri bulutları görebilirsin.",neeko-proto-v0,teacher,neutral,"apostrophe"
0058.wav,"Ankara'da yaşayan bir çocuk, bugün ilk kez kendi hikayesini yazdı.",neeko-proto-v0,story,neutral,"apostrophe"
0059.wav,"Bin dokuz yüz yirmi üçte çok önemli bir başlangıç yapıldı.",neeko-proto-v0,teacher,neutral,"number"
0060.wav,"İki yüz elli lira ile yüzde yirmi indirim arasındaki farkı birlikte hesaplayalım.",neeko-proto-v0,teacher,neutral,"money percent"
